player_id,team_id,jersey_no,player_name,posi_to_play,dt_of_bir,age,playing_club
160201,1209,13,Daniel Bode,FD,10/24/86,29,Ferencvaros
160198,1209,14,Gergo Lovrencsics,MF,9/1/88,27,Lech
160197,1209,15,Laszlo Kleinheisler,MF,4/8/94,22,Bremen
160195,1209,16,adam Pinter,DF,6/12/88,28,Ferencvaros
160205,1209,17,Nemanja Nikolic,FD,12/31/87,28,Legia
160200,1209,18,Zoltan Stieber,MF,10/16/88,27,Nurnberg
160206,1209,19,Tamas Priskin,FD,9/27/86,29,Slovan Bratislava
160190,1209,20,Richard Guzmics,DF,4/16/87,29,Wisla
160188,1209,21,Barnabas Bese,DF,5/6/94,22,MTK
160186,1209,22,Peter Gulacsi,GK,5/6/90,26,Leipzig
160191,1209,23,Roland Juhasz,DF,7/1/83,32,Videoton
160208,1210,1,Hannes Halldorsson,GK,4/27/84,32,Bodo/Glimt
160216,1210,2,Birkir Saevarsson,DF,11/11/84,31,Hammarby
160212,1210,3,Haukur Heidar Hauksson,DF,9/1/91,24,AIK
160213,1210,4,Hjortur Hermannsson,DF,2/8/95,21,Goteborg
160214,1210,5,Sverrir Ingason,DF,8/5/93,22,Lokeren
160217,1210,6,Ragnar Sigurdsson,DF,6/19/86,29,Krasnodar
160229,1210,7,Johann Gudmundsson,FD,10/27/90,25,Charlton
160221,1210,8,Birkir Bjarnason,MF,5/27/88,28,Basel
160230,1210,9,Kolbeinn Sigthorsson,FD,3/14/90,26,Nantes
160224,1210,10,Gylfi Sigurdsson,MF,9/8/89,26,Swansea
160227,1210,11,Alfred Finnbogason,FD,2/1/89,27,Augsburg
160210,1210,12,Ogmundur Kristinsson,GK,6/19/89,26,Hammarby
160209,1210,13,Ingvar Jonsson,GK,10/18/89,26,Sandefjord
160220,1210,14,Kari Arnason,MF,10/13/82,33,Malmo
160226,1210,15,Jon Dadi Bodvarsson,FD,5/25/92,24,Kaiserslautern
160225,1210,16,Runar Mar Sigurjonsson,MF,6/18/90,26,Sundsvall
160222,1210,17,Aron Gunnarsson,MF,4/22/89,27,Cardiff
160211,1210,18,Elmar Bjarnason,DF,3/4/87,29,AGF
160215,1210,19,Hordur Magnusson,DF,2/11/93,23,Cesena
160223,1210,20,Emil Hallfredsson,MF,6/29/84,31,Udinese
160219,1210,21,Arnor Ingvi Traustason,DF,4/30/93,23,Norrkoping
160228,1210,22,Eidur Gudjohnsen,FD,9/15/78,37,Molde
160218,1210,23,Ari Skulason,DF,5/14/87,29,OB
160231,1211,1,Gianluigi Buffon,GK,1/28/78,38,Juventus
160238,1211,2,Mattia De Sciglio,DF,10/20/92,23,Milan
160236,1211,3,Giorgio Chiellini,DF,8/14/84,31,Juventus
160237,1211,4,Matteo Darmian,DF,12/2/89,26,Man. United
160239,1211,5,Angelo Ogbonna,DF,5/23/88,28,West Ham
160241,1211,6,Antonio Candreva,MF,2/28/87,29,Lazio
160253,1211,7,Simone Zaza,FD,6/25/91,24,Juventus
160243,1211,8,Alessandro Florenzi,MF,3/11/91,25,Roma
160252,1211,9,Graziano Pelle,FD,7/15/85,30,Southampton
160245,1211,10,Thiago Motta,MF,8/28/82,33,Paris
160250,1211,11,Ciro Immobile,FD,2/20/90,26,Torino
160233,1211,12,Salvatore Sirigu,GK,1/12/87,29,Paris
160232,1211,13,Federico Marchetti,GK,2/7/83,33,Lazio
160247,1211,14,Stefano Sturaro,MF,3/9/93,23,Juventus
160234,1211,15,Andrea Barzagli,DF,5/8/81,35,Juventus
160242,1211,16,Daniele De Rossi,MF,7/24/83,32,Roma
160248,1211,17,Eder,FD,11/15/86,29,Internazionale
160246,1211,18,Marco Parolo,MF,1/25/85,31,Lazio
160235,1211,19,Leonardo Bonucci,DF,5/1/87,29,Juventus
160251,1211,20,Lorenzo Insigne,FD,6/4/91,25,Napoli
160240,1211,21,Federico Bernardeschi,MF,2/16/94,22,Fiorentina
160249,1211,22,Stephan El Shaarawy,FD,10/27/92,23,Roma
160244,1211,23,Emanuele Giaccherini,MF,5/5/85,31,Bologna
160256,1212,1,Michael McGovern,GK,7/12/84,31,Hamilton
160264,1212,2,Conor McLaughlin,DF,7/26/91,24,Fleetwood
160269,1212,3,Shane Ferguson,MF,7/12/91,24,Millwall
160262,1212,4,Gareth McAuley,DF,12/5/79,36,West Brom
160259,1212,5,Jonny Evans,DF,1/3/88,28,West Brom
160257,1212,6,Chris Baird,DF,2/25/82,34,Fulham
160275,1212,7,Niall McGinn,FD,7/20/87,28,Aberdeen
160267,1212,8,Steven Davis,MF,1/1/85,31,Southampton
160273,1212,9,Will Grigg,FD,7/3/91,24,Wigan
160274,1212,10,Kyle Lafferty,FD,9/16/87,28,Birmingham
160276,1212,11,Conor Washington,FD,5/18/92,24,QPR
160254,1212,12,Roy Carroll,GK,9/30/77,38,Notts County
160268,1212,13,Corry Evans,MF,7/30/90,25,Blackburn
160266,1212,14,Stuart Dallas,MF,4/19/91,25,Leeds
160263,1212,15,Luke McCullough,DF,2/15/94,22,Doncaster
160271,1212,16,Oliver Norwood,MF,4/12/91,25,Reading
160265,1212,17,Paddy McNair,DF,4/27/95,21,Man. United
160261,1212,18,Aaron Hughes,DF,11/8/79,36,Melbourne City
160272,1212,19,Jamie Ward,MF,5/12/86,30,Nottm Forest
160258,1212,20,Craig Cathcart,DF,2/6/89,27,Watford
160270,1212,21,Josh Magennis,MF,8/15/90,25,Kilmarnock
160260,1212,22,Lee Hodson,DF,10/2/91,24,MK Dons
160255,1212,23,Alan Mannus,GK,5/19/82,34,St Johnstone
160279,1213,1,Wojciech Szczesny,GK,4/18/90,26,Roma
160283,1213,2,Michal Pazdan,DF,9/21/87,28,Legia
160282,1213,3,Artur Jedrzejczyk,DF,11/4/87,28,Legia
160280,1213,4,Thiago Cionek,DF,4/21/86,30,Palermo
160293,1213,5,Krzysztof Maczynski,MF,5/23/87,29,Wisla
160289,1213,6,Tomasz Jodlowiec,MF,9/8/85,30,Legia
160298,1213,7,Arkadiusz Milik,FD,2/28/94,22,Ajax
160292,1213,8,Karol Linetty,MF,2/2/95,21,Lech
160297,1213,9,Robert Lewandowski,FD,8/21/88,27,Bayern
160291,1213,10,Grzegorz Krychowiak,MF,1/29/90,26,Sevilla
160288,1213,11,Kamil Grosicki,MF,6/8/88,28,Rennes
160277,1213,12,Artur Boruc,GK,2/20/80,36,Bournemouth
160299,1213,13,Mariusz Stepinski,FD,5/12/95,21,Ruch
160286,1213,14,Jakub Wawrzyniak,DF,7/7/83,32,Lechia
160281,1213,15,Kamil Glik,DF,2/3/88,28,Torino
160287,1213,16,Jakub Blaszczykowski,MF,12/14/85,30,Fiorentina
160294,1213,17,Slawomir Peszko,MF,2/19/85,31,Lechia
160285,1213,18,Bartosz Salamon,DF,5/1/91,25,Cagliari
160296,1213,19,Piotr Zielinski,MF,5/20/94,22,Empoli
160284,1213,20,Lukasz Piszczek,DF,6/3/85,31,Dortmund
160290,1213,21,Bartosz Kapustka,MF,12/23/96,19,
160278,1213,22,Lukasz Fabianski,GK,4/18/85,31,Swansea
160295,1213,23,Filip Starzynski,MF,5/27/91,25,Zaglebie
160302,1214,1,Rui Patricio,GK,2/15/88,28,Sporting CP
160303,1214,2,Bruno Alves,DF,11/27/81,34,Fenerbahce
160307,1214,3,Pepe,DF,2/26/83,33,Real Madrid
160306,1214,4,Jose Fonte,DF,12/22/83,32,Southampton
160308,1214,5,Raphael Guerreiro,DF,12/22/93,22,Lorient
160309,1214,6,Ricardo Carvalho,DF,5/18/78,38,Monaco
160322,1214,7,Cristiano Ronaldo,FD,2/5/85,31,Real Madrid
160314,1214,8,Joao Moutinho,MF,9/8/86,29,Monaco
160319,1214,9,Eder,FD,12/22/87,28,LOSC
160313,1214,10,Joao Mario,MF,1/19/93,23,Sporting CP
160317,1214,11,Vieirinha,MF,1/24/86,30,Wolfsburg
160301,1214,12,Anthony Lopes,GK,10/1/90,25,Lyon
160312,1214,13,Danilo,MF,9/9/91,24,Porto
